"nt","nz","a","b","bmin","bmax","b3","dxK","dyK","zK","dxO","dyO","zO","x0","y0","z0","y1","z1","x2","z2","x3","y3","dab","dbh","db12","db","odev","inv","cen","rot","invK","cenK","rotK","dgam","amin","amax","tK","pK","tO","pO","d1","d2","d3","d4","d5","dxK","dyK","dxO","dyO","tem","SG","SG0","g2","file","cation","cnf","L","met","fntag"
"i","i","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","Ao","Ao","Ao","Ao","K","str","str","str","str","str","str","c","str","str"
3,2,6.31431978500000,6.31431978500000,3.02563577864922,3.47870548987033,3.15529784828449,-.575939883356274,.755984338876626,2.71745060428746,.174413653517773,1.11962713942326,5.66047874117189,669.866233742441,703.339493997035,30.4430319645408,758.108607868171,-3.172562961084,-855.055692281774,9.1676324709684,-151.840938208124,158.054673893805,0.,453.069711221103,47.2634512906279,453.069711221103,196.521531345837,436.521981995082,1.05129776819844e-012,1.33860231988988e-011,112.484991613863,2.42125120174569e-012,112.484991613862,2.1596304,152.761198113944,153.248698680273,54.928969313042,20.6265615298235,67.2792699241275,-3.75622271097369,184.366167757211,65.6110593036679,125.197313161373,0,0,-.575939883356274,.755984338876626,.174413653517773,1.11962713942326,0,"P212121","P212121","","cryst2MBA-R_R2SCAN-RVV10paw600_L4","MBA","R","2","~R2SCAN",""
3,2,6.31571234500000,6.31571234500000,3.02491063880148,3.48162820692823,3.15525023604513,-.5549953029585,.616961942051542,2.55193704081125,.295479900357334,.69126391873469,5.45068677015458,670.929804352244,704.748692113074,-30.2820741247844,759.094355365422,4.3225376010948,-856.07175608624,-.0551235911459974,-121.869114336717,244.339829746162,0.,456.717568126734,46.2728173299698,456.717568126736,197.318789439663,439.149049812044,8.69477832286024e-013,1.32679692413334e-011,110.985241380236,1.42012692003304e-012,110.985240901378,2.157632,152.728786477438,153.218859345074,54.1135422758069,-23.6726817524051,68.5697365815667,-10.9834576513509,170.832016862505,287.789478581026,234.639589906542,0,0,-.5549953029585,.616961942051542,.295479900357334,.69126391873469,0,"P212121","P212121","","cryst2MBA-S_R2SCAN-RVV10paw600_L4","MBA","S","2","~R2SCAN",""
3,2,6.10511842500000,6.04618521500000,3.0935480729984,3.12272358594754,3.17220883304918,.973534379273087,.00974776733341809,2.5509731104682,.9729768230582,-1.0667257080537,5.9664000386749,0.,0.,0.,635.70266628285,69.4587231289663,-638.827603878673,76.1646280069618,-177.455193125251,-26.9043957607515,58.93321000000,25.2049063472715,25.2049063472711,7.79992073948277,52.8477366683872,5.12790049702284e-013,6.31146979842329e-013,39.6063370693964,2.02299632963557e-012,1.70394444154273e-012,59.8304047224258,-.2565387,155.484670519538,156.336188695566,66.5819412410961,174.741314063782,33.0514250882978,136.624391892122,186.225250014156,298.850415912839,291.003504863500,0,0,.973534379273087,.00974776733341809,.9729768230582,-1.0667257080537,0,"P-1","P-1","","cryst2PEA-z_R2SCAN-RVV10paw600_L4","PEA","z","2","~R2SCAN",""
3,2,6.10700092000000,6.04594248500000,3.08888604331101,3.12395007653635,3.16983119311045,.969880766668934,.0144970761017307,2.55661101662507,.992208512475773,-1.06440270177352,5.96842169021289,0.,0.,0.,638.339876587646,66.3157811180382,-663.684622776676,75.3246688740402,-174.602154236017,-4.46254902193955,61.05843500000,27.1218004319767,27.1218004319759,8.4141875710988,56.684867776903,5.12790049702284e-013,8.40038537197868e-013,39.2233025194843,2.52277077117558e-005,2.24247514941522e-012,71.6798914949907,.2489994,155.553186498583,156.260990219941,65.9580796860479,174.433253846009,32.2430582131067,127.95106842674,185.847548307050,298.664832702360,287.180198926758,0,0,.969880766668934,.0144970761017307,.992208512475773,-1.06440270177352,0,"P-1","P-1","","cryst2PEA_R2SCAN-RVV10paw600_L4","PEA","","2","~R2SCAN",""
3,2,6.03821618000000,6.05424565000000,3.08801622855569,3.10085380404233,3.18095493865076,.956400465878561,.00255499521305325,2.54556772820418,.890737515411899,-.870439485725677,5.91169630609469,0.,0.,0.,658.732697963528,59.1432599453211,-663.687908101611,46.2468851562251,-135.293949624772,-52.4076707784111,-16.02947000000,7.71175353883247,7.71175353883236,5.37213987505858,46.2063765406308,2.56395024851142e-013,9.51413198280327e-013,24.7522481470779,1.15141972159285e-012,1.36728884943712e-012,52.5520588583566,.84697e-1,155.287306597261,155.370684778366,66.781370065859,175.705602681996,35.5333055126815,136.386466780952,186.488782173773,300.974028262945,108.377280351735,0,0,.956400465878561,.00255499521305325,.890737515411899,-.870439485725677,0,"P-1","P-1","","cryst2TEA_R2SCAN-RVV10paw600_L4","TEA","","2","~R2SCAN",""
2,1,6.06849840000000,6.06849840000000,3.09528790066104,3.10150404266674,3.1834797085179,.86417080090763,.0375942611457725,2.53882,-.2639011576812,-.483421793076977,5.59915142857143,0.,0.,0.,618.99075975188,101.19,-576.248852293719,101.19,-275.045240287056,-72.3713191853476,0.,6.21614200569442,6.2161420056942,6.21614200569587,82.6429478513425,2.56395024851142e-013,7.73180868062446e-013,2.39704750254441e-011,8.55984431944484e-013,2.05882437701234e-012,3.13603888078445e-012,-.8068079,156.641824089796,156.641824089796,65.0787927302425,-177.484249026875,84.7623296079099,-176.257003328207,174.537683851319,94.1276990647471,0,0,0,.86417080090763,.0375942611457725,-.2639011576812,-.483421793076977,0,"p21/b11","p21/b11","","layerBC1A_R2SCAN-RVV10paw600_L4","BC1A","","","~R2SCAN",""
2,1,6.06399363000000,6.06399363000000,3.13940390385221,3.15204858687562,3.16312294165458,-.418067545228761,.546946716224082,2.58006,.501590928778159,-1.59268767911895,5.51847,0.,0.,0.,612.448297231787,572.27,-804.217274059911,572.27,-253.390486995168,-616.588419224602,0.,12.6446830234027,12.6446830234025,12.644683023403,90.4452074004183,0.,5.33407958743406e-013,2.91451782771645e-011,7.05289811096265e-013,1.52536879239522e-012,2.68215700131785e-005,3.6418162,149.092655163104,149.092655163104,32.64307734451,-119.933713943409,39.5095109809793,-59.5907480899606,191.831317987864,181.663125458739,185.063847286650,182.397588345382,0,-.418067545228761,.546946716224082,.501590928778159,-1.59268767911895,0,"p21/b11","p21/b11","","layerC4A_R2SCAN-RVV10paw600_L4","C4A","","","~R2SCAN",""
2,1,6.04550086500000,6.04550086500000,3.11013968994812,3.132425946484,3.15893239947493,.00442593258870216,.545629152175753,2.57493,-1.06488683203411,-1.84066057323577,6.125715,0.,0.,0.,538.553269972376,561.55,-270.774998599728,561.55,-352.445419311825,-517.024888432427,0.,22.2862565358788,22.2862565358787,22.286256535879,160.070349441813,0.,5.66104886700368e-013,3.6124490333517e-011,7.24335444010557e-013,1.24109639066513e-012,2.62243099107388e-005,-5.0617117,151.130281917346,151.130281917346,20.0630418182172,-65.2153832897732,32.7781441948631,-107.991674770771,186.901886989485,181.910671811514,183.975465405147,178.850657883106,180.600138414662,.00442593258870216,.545629152175753,-1.06488683203411,-1.84066057323577,0,"p21/b11","p21/b11","","layerC5A_R2SCAN-RVV10paw600_L4","C5A","","","~R2SCAN",""
2,1,6.07607816500000,6.07607816500000,3.09947453983084,3.1078783997583,3.19493472600533,.922189449006293,2.41724851588465e-005,2.54347,-2.06804011516664,.306461269120065,6.576968,0.,0.,0.,631.792236091838,62.96,-542.962795962721,62.96,-245.445838028959,-104.751282230807,0.,8.40385992745196,8.40385992745141,8.4038599274523,87.5971987443795,3.62597321469472e-013,8.19768964563504e-013,3.0165787626229e-011,1.5098453662261e-012,3.56633933162591e-012,3.39039329827215e-005,-1.6727984,156.391205227138,156.391205227139,65.0764366439439,-174.010442854682,34.2908680293057,172.848857108989,191.015642563216,186.074897445239,186.813034207636,185.774759499367,181.478395058850,.922189449006293,2.41724851588465e-005,-2.06804011516664,.306461269120065,0,"p21/b11","p21/b11","","layerC6A_R2SCAN-RVV10paw600_L4","C6A","","","~R2SCAN",""
2,1,6.06277263000000,6.06277263000000,3.12213728105778,3.14439365588541,3.15964695811472,.035383358190725,.568968703515292,2.49294,-1.16297064554981,-.779901205745686,8.05408568571429,0.,0.,0.,518.236401424146,599.5599,-200.047932936716,599.5599,-418.939659738249,-561.952872762488,0.,22.2563748276289,22.2563748276284,22.2563748276299,179.99359027776,5.75328740613011e-013,5.64401287030468e-013,1.17445174557488e-011,5.46582152765151e-005,1.54237111854025e-012,4.61331146854925e-005,-5.9941096,150.69792731117,150.69792731117,24.0118703649784,-87.3108585546612,2.5450694157366,50.1281968515496,176.187896275786,175.995151243271,66.6621540062942,175.213691712358,181.961905530281,.035383358190725,.568968703515292,-1.16297064554981,-.779901205745686,0,"p21/b11","p21/b11","","layerC8A_R2SCAN-RVV10paw600_L4","C8A","","","~R2SCAN",""
